Localité,TYPE_POINT,FONCTIONNE,COMITE_GES,RESID_ART_,LOCALISATI,ANNEE_IN_1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Bissangai,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,18.38960000000,7.38924000000,Ouham,Batangafo,Ouassi
Boyali Yaho,Puits traditionnel,Oui,Non,Dans le village,Communaute,Plus de 10 ans,16.19240000000,6.01539000000,Ouham Pendé,Bozoum,Birvan-Bolé
Badjianda,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 5 ans,16.15320000000,6.92547000000,Ouham Pendé,Paoua,Malé
Bania,Puits moderne,Non,Non,Hors du village,Communaute,Plus de 10 ans,16.11270000000,4.00647000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Bai,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 5 ans,16.12940000000,6.77608000000,Ouham Pendé,Paoua,Malé
Belé,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 5 ans,16.20950000000,7.06285000000,Ouham Pendé,Paoua,Malé
Belé 1,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,16.21000000000,7.06250000000,Ouham Pendé,Paoua,Malé
Bangassou,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 5 ans,22.79920000000,4.73839000000,Mbomou,Bangassou,Bangassou
Bozoum,Puits traditionnel,Oui,Oui,Hors du village,Communaute,,16.37810000000,6.31827000000,Ouham Pendé,Bozoum,Bozoum
Bilakare,Puits moderne,Non,Oui,Hors du village,Communaute,Plus de 10 ans,16.13950000000,6.76379000000,Ouham Pendé,Paoua,Malé
Ngama,Puits moderne,Oui,Non,Dans le village,Communaute,Plus de 10 ans,21.45880000000,4.71875000000,Basse-Kotto,Kembé,Kembé
Bangassou,Puits moderne,Non,Non,Dans le village,Ecole,Plus de 10 ans,22.80890000000,4.74597000000,Mbomou,Bangassou,Bangassou
Dakawa,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 5 ans,16.14300000000,6.91602000000,Ouham Pendé,Paoua,Malé
Kahon,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,16.25260000000,6.68946000000,Ouham Pendé,Paoua,Malé
Kangatou,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 5 ans,16.16130000000,6.94670000000,Ouham Pendé,Paoua,Malé
Tagoro,Puits moderne,Oui,Non,Hors du village,Communaute,Plus de 10 ans,18.68360000000,4.92223000000,Ombella M'Poko,Damara,Damara
Kolongo,Puits moderne,Oui,Oui,Dans le village,Hors du village,Plus de 5 ans,16.16830000000,6.95792000000,Ouham Pendé,Paoua,Malé
Ngama-Bis-Sango,Puits moderne,Oui,Non,Dans le village,Ecole,Plus de 10 ans,21.76000000000,4.86291000000,Basse-Kotto,Mingala,Siriki
Lepourou,Puits moderne,Oui,Oui,Hors du village,Hors du village,Plus de 5 ans,16.12690000000,6.88115000000,Ouham Pendé,Paoua,Malé
Boulagba,Puits moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,21.12610000000,4.51338000000,Basse-Kotto,Mobaye,Mbéima
Palao,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 5 ans,16.18190000000,6.98831000000,Ouham Pendé,Paoua,Malé
Boguera,Puits moderne,Oui,Non,Hors du village,Ecole,Moins de 10 ans,17.15260000000,4.88614000000,Lobaye,Boganangone,Boganangone
Bezomo,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.54050000000,7.28303000000,Ouham,Kabo,Ouaki
Bonaguiro,Puits moderne,Oui,Non,Hors du village,Ecole,Plus de 10 ans,17.20190000000,4.83549000000,Lobaye,Boganangone,Boganangone
Bokaiwa,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,18.56190000000,7.27666000000,Ouham,Kabo,Ouaki
Nganzi,Puits traditionnel,Oui,Non,Dans le village,Communaute,Plus de 10 ans,22.61960000000,4.90183000000,Mbomou,Bangassou,Sayo Niakari
Mobaye,Puits moderne,Oui,Non,Dans le village,Ecole,Moins de 5 ans,21.17810000000,4.32311000000,Basse-Kotto,Mobaye,Mobaye
Liton,Puits moderne,Oui,Oui,Hors du village,Ecole,Moins de 10 ans,18.52630000000,4.52559000000,Ombella M'Poko,Bimbo,Bimbo
Botere 1,Puits Moderne,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,18.65560000000,7.25889000000,Ouham,Kabo,Ouaki
Mbangui-Yangada,Puits moderne,Non,Non,Dans le village,Ecole,Moins de 5 ans,21.93740000000,4.30295000000,Basse-Kotto,Satéma,Kotto-Oubangui
Mbombo,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 5 ans,21.92050000000,4.29880000000,Basse-Kotto,Satéma,Kotto-Oubangui
Farazara 2,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.74260000000,7.38162000000,Ouham,Kabo,Ouaki
Ngaligue,Puits moderne,Non,Non,Dans le village,Ecole,Plus de 10 ans,21.92790000000,4.41676000000,Basse-Kotto,Satéma,Kotto-Oubangui
Frazara 1,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.74240000000,7.38142000000,Ouham,Kabo,Ouaki
Nganda,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 5 ans,22.07120000000,4.31244000000,Mbomou,Gambo,Ngandou
Kodje,Puits traditionnel,Non,Non,Dans le village,Ecole,Plus de 10 ans,20.95930000000,4.46752000000,Basse-Kotto,Zangba,Ouambé
Kodje,Puits moderne,Oui,Oui,Dans le village,FOSA,Moins de 5 ans,20.96150000000,4.46823000000,Basse-Kotto,Zangba,Ouambé
Ngaiforo,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 5 ans,20.84580000000,4.53717000000,Basse-Kotto,Zangba,Ouambé
Kava 1,Puits moderne,Oui,Oui,Dans le village,Communaute,,18.49350000000,7.53540000000,Ouham,Kabo,Ouaki
Ouale,Puits moderne,Non,Oui,Hors du village,Ecole,Moins de 5 ans,20.79520000000,4.53717000000,Basse-Kotto,Zangba,Ouambé
Moussoumba,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.63770000000,7.55891000000,Ouham,Kabo,Ouaki
Ndimba,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,18.61510000000,4.12875000000,Ombella M'Poko,Bimbo,Bimbo
Ribo,Puits traditionnel,Oui,,,Communaute,Moins de 5 ans,16.06810000000,6.54205000000,Ouham Pendé,Bozoum,Kouazo
Boukanga,Puits moderne,Non,Non,Hors du village,Communaute,Plus de 10 ans,17.27310000000,5.28777000000,Ombella M'Poko,Yaloké,Yaloké
Banga 1,Puits traditionnel,Oui,Non,Hors du village,Hors du village,,19.27410000000,7.01947000000,Nana-Gribizi,Kaga-Bandoro,Grivaï-Pamia
Beltounou 1,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.63000000000,7.63385000000,Ouham,Kabo,Sido
Kabo,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,18.61220000000,7.69108000000,Ouham,Kabo,Sido
Kabo,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,18.62160000000,7.69349000000,Ouham,Kabo,Sido
Guen,Puits traditionnel,Oui,,,Communaute,,15.79510000000,4.66582000000,Mambéré-Kadéï,Berbérati,Haute-Batouri
Kabo,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,18.62510000000,7.69625000000,Ouham,Kabo,Sido
Obo,Puits moderne,Oui,Non,Hors du village,Communaute,Plus de 10 ans,26.48700000000,5.38368000000,Haut-Mbomou,Obo,Obo
Kabo,Puits moderne,Oui,Oui,,Ecole,Plus de 10 ans,18.62580000000,7.69890000000,Ouham,Kabo,Sido
Kabo 4,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,18.62610000000,7.69773000000,Ouham,Kabo,Sido
Obo,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,26.49290000000,5.39666000000,Haut-Mbomou,Obo,Obo
Bouzou,Puits traditionnel,Oui,Non,Dans le village,Communaute,Plus de 10 ans,15.17830000000,6.84397000000,Ouham Pendé,Koui,Koui
Kounga-Lutos,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.62900000000,7.64354000000,Ouham,Kabo,Sido
De gaulle,Puits moderne,Oui,Oui,Hors du village,FOSA,Moins de 10 ans,15.44550000000,6.93969000000,Ouham Pendé,Koui,Koui
Sebokele,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,18.39520000000,4.21836000000,Ombella M'Poko,Bimbo,Bimbo
Bemal,Puits moderne,non,Oui,Hors du village,Communaute,Plus de 10 ans,16.60940000000,7.58451000000,Ouham Pendé,Paoua,Mia-Péndé
Vafio,Puits moderne,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,18.57020000000,7.64081000000,Ouham,Kabo,Sido
Sekia,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 10 ans,18.41240000000,4.31175000000,Ombella M'Poko,Bimbo,Bimbo
Bemal,Puits moderne,non,Oui,Hors du village,Communaute,Plus de 10 ans,16.61180000000,7.58316000000,Ouham Pendé,Paoua,Mia-Péndé
Bele,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 10 ans,17.14090000000,7.63757000000,Ouham,Markounda,Nana Markounda
Beyongo,Puits moderne,Non,Non,,Communaute,Moins de 5 ans,17.13510000000,7.63823000000,Ouham,Markounda,Nana Markounda
Kadjama,Puits moderne,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,17.08440000000,7.38771000000,Ouham,Markounda,Nana Markounda
Kadjama,Puits traditionnel,Oui,Oui,,Communaute,Plus de 10 ans,17.20120000000,7.52181000000,Ouham,Markounda,Nana Markounda
Bakala,Puits traditionnel,Oui,Non,Hors du village,Communaute,,20.37670000000,6.19658000000,Ouaka,Bakala,Koudou-Bégo
Bakala,Puits traditionnel,Non,Non,Hors du village,FOSA,,20.38600000000,6.19632000000,Ouaka,Bakala,Koudou-Bégo
Madongai,Puits moderne,Oui,Non,,Communaute,Moins de 5 ans,17.19810000000,7.52397000000,Ouham,Markounda,Nana Markounda
Bakala,Puits traditionnel,Oui,Non,Hors du village,Communaute,,20.38970000000,6.19581000000,Ouaka,Bakala,Koudou-Bégo
Zemio,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,25.12150000000,5.03061000000,Haut-Mbomou,Zémio,Zémio
Bakala,Puits traditionnel,Oui,Non,Hors du village,Communaute,,20.39040000000,6.19622000000,Ouaka,Bakala,Koudou-Bégo
Koudoubego,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,20.37610000000,6.19760000000,Ouaka,Bakala,Koudou-Bégo
Zemio,Puits moderne,Oui,Non,Hors du village,Communaute,Plus de 10 ans,25.12300000000,5.02935000000,Haut-Mbomou,Zémio,Zémio
Bakaba,Puits moderne,Non,Oui,Hors du village,Hors du village,Moins de 5 ans,19.06590000000,7.08764000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Bamabari,Puits traditionnel,Oui,,,FOSA,,20.66833300000,5.76138889000,Ouaka,Bambari,Bambari
Zemio,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,25.13430000000,5.03069000000,Haut-Mbomou,Zémio,Zémio
Zemio,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,25.13480000000,5.03159000000,Haut-Mbomou,Zémio,Zémio
Bambari,Puits traditionnel,Oui,Non,Hors du village,Ecole,,20.66670000000,5.76868000000,Ouaka,Bambari,Bambari
Zemio,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,25.13820000000,5.03309000000,Haut-Mbomou,Zémio,Zémio
Zemio,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,25.14150000000,5.03435000000,Haut-Mbomou,Zémio,Zémio
Bofoui 2,Puits traditionnel,Non,Non,Hors du village,Communaute,Plus de 10 ans,17.72160000000,7.18493000000,Ouham,Batangafo,Bédé
Zemio,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,25.14280000000,5.03064000000,Haut-Mbomou,Zémio,Zémio
Guimbo 2,Puits moderne,Oui,Oui,Hors du village,Hors du village,Moins de 5 ans,19.05690000000,7.09139000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Afrotcho,Puits moderne,Oui,Non,Hors du village,Ecole,,21.22200000000,5.92437000000,Ouaka,Bambari,Danga-Gboudou
Beh,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,16.31590000000,6.64856000000,Ouham Pendé,Paoua,Mom
Konvi 1,Puits moderne,Non,Non,Hors du village,Communaute,Moins de 5 ans,18.86490000000,7.36740000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Konvi 2,Puits moderne,Oui,Non,,Communaute,,18.84440000000,7.25718000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Metefara,Puits moderne,Oui,Oui,,Hors du village,,19.06670000000,7.07678000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Boulougba,Puits traditionnel,Oui,Non,Hors du village,Communaute,,21.07850000000,5.88180000000,Ouaka,Bambari,Danga-Gboudou
Dolo 3,Puits traditionnel,Oui,Non,Dans le village,Communaute,Moins de 5 ans,22.20210000000,6.50887000000,Haute-Kotto,Bria,Daba Nydou
Orongou,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,22.11170000000,6.51871000000,Haute-Kotto,Bria,Daba Nydou
Ndow-Kete,Puits moderne,Oui,Oui,Hors du village,Communaute,Moins de 5 ans,17.58690000000,5.78512000000,Ouham,Bossangoa,Koro-M'poko
Ourindi,Puits traditionnel,Oui,,,Communaute,,22.00130000000,6.40296000000,Haute-Kotto,Bria,Daba Nydou
Tetia,Puits traditionnel,Oui,,,Communaute,Moins de 5 ans,21.99760000000,6.35257000000,Haute-Kotto,Bria,Daba Nydou
Ayorokpo 2,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,22.01750000000,6.64771000000,Haute-Kotto,Bria,Samba-Boungou
Balibi 2,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,21.95740000000,6.85515000000,Haute-Kotto,Bria,Samba-Boungou
Kombelet,Puits moderne,Oui,Non,,Communaute,Plus de 10 ans,20.72880000000,5.82597000000,Ouaka,Bambari,Danga-Gboudou
Mbaiki,Puits traditionnel,Non,Non,Hors du village,Communaute,Plus de 10 ans,17.98000000000,3.87006000000,Lobaye,Mbaïki,Mbaiki
Ouandago,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.84300000000,7.25565000000,Ouham,Kabo,Ouaki
Bria,Puits traditionnel,Oui,Non,Hors du village,Ecole,Moins de 10 ans,21.98870000000,6.54178000000,Haute-Kotto,Bria,Samba-Boungou
Kotiyo,Puits traditionnel,Non,,,Communaute,Plus de 10 ans,20.75610000000,5.82153000000,Ouaka,Bambari,Danga-Gboudou
Bria,Puits traditionnel,Oui,Non,,Ecole,Plus de 10 ans,21.99910000000,6.53214000000,Haute-Kotto,Bria,Samba-Boungou
Koyassi 1,Puits traditionnel,Non,,,Communaute,Moins de 5 ans,21.89860000000,6.54012000000,Haute-Kotto,Bria,Samba-Boungou
Koyassi 2,Puits traditionnel,Oui,,,Communaute,,21.87940000000,6.53654000000,Haute-Kotto,Bria,Samba-Boungou
Ngadja,Puits traditionnel,Oui,,,Communaute,Plus de 10 ans,21.93860000000,6.54848000000,Haute-Kotto,Bria,Samba-Boungou
Mbrepou,Puits traditionnel,Oui,,,Communaute,,20.77250000000,5.82585000000,Ouaka,Bambari,Danga-Gboudou
Ngoubi 3,Puits traditionnel,Oui,Non,Hors du village,Communaute,Moins de 10 ans,21.86460000000,6.53066000000,Haute-Kotto,Bria,Samba-Boungou
Ouandago 11,Puits moderne,Oui,Oui,Dans le village,Communaute,,18.83944400000,7.25472222000,Ouham,Kabo,Ouaki
Nguerengou,Puits traditionnel,Oui,Non,,Communaute,Plus de 10 ans,21.86540000000,7.23117000000,Haute-Kotto,Bria,Samba-Boungou
Ouandago 7,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.84277800000,7.25833333000,Ouham,Kabo,Ouaki
Pk 18 Ngoubi,Puits traditionnel,Oui,Non,,Communaute,Plus de 10 ans,21.85710000000,6.52795000000,Haute-Kotto,Bria,Samba-Boungou
Outa,Puits moderne,Non,Non,Hors du village,Communaute,Moins de 5 ans,18.90810000000,7.20716000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Yagoleka,Puits traditionnel,Oui,Non,Hors du village,Communaute,Moins de 10 ans,22.10000000000,6.51777000000,Haute-Kotto,Bria,Daba Nydou
Ndassima,Puits traditionnel,Oui,Non,Hors du village,Communaute,,20.79540000000,6.16055000000,Ouaka,Bambari,Danga-Gboudou
Yangoungba,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,22.07680000000,6.52009000000,Haute-Kotto,Bria,Samba-Boungou
,Puits traditionnel,Oui,Non,Dans le village,Communaute,Plus de 10 ans,22.07680000000,6.52028000000,Haute-Kotto,Bria,Samba-Boungou
Ouadda,Puits traditionnel,Non,Non,,FOSA,Plus de 10 ans,22.39910000000,8.06529000000,Haute-Kotto,Ouadda,Ouadda
Patcho 1,Puits moderne,Non,Oui,Hors du village,Communaute,Moins de 5 ans,19.03150000000,7.11203000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Pounembale,Puits traditionnel,Oui,,,Hors du village,,20.84590000000,5.80472000000,Ouaka,Bambari,Danga-Gboudou
Gbassounou,Puits traditionnel,Non,Non,,Communaute,Moins de 5 ans,16.77880000000,4.48629000000,Mambéré-Kadéï,Carnot,Senkpa-Mbaéré
Bada-Ngana2,Puits traditionnel,Non,Non,Hors du village,Communaute,,21.54150000000,5.72825000000,Ouaka,Bambari,Haute Baïdou
Bangui-Banda,Puits moderne,Non,Non,Hors du village,Communaute,,21.64650000000,5.63420000000,Ouaka,Bambari,Haute Baïdou
Zando 1,Puits moderne,Oui,Non,,Communaute,,19.06080000000,7.10094000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Kamaye,Puits traditionnel,Oui,Non,Hors du village,Communaute,,21.40260000000,5.80062000000,Ouaka,Bambari,Haute Baïdou
Ngbandjawara,Puits traditionnel,Non,Non,Hors du village,Communaute,,21.43170000000,5.76512000000,Ouaka,Bambari,Haute Baïdou
Digui,Puits traditionnel,Oui,Non,,Communaute,,20.82990000000,5.47270000000,Ouaka,Bambari,Ngougbia
Banga 2,Puits moderne,Oui,Oui,,Communaute,Plus de 10 ans,19.28750000000,7.02343000000,Nana-Gribizi,Kaga-Bandoro,Grivaï-Pamia
Bouar,Puits moderne,Oui,Non,Dans le village,Communaute,Plus de 10 ans,15.86560000000,5.83061000000,Nana-Mambéré,Bouar,Doaka-Koursou
Kapabanga,Puits traditionnel,Oui,,,Communaute,,20.62380000000,5.74987000000,Ouaka,Bambari,Pladama-Ouaka
